Spanish,Polish
dientes,zęby
maté,kumpel
central,centralny
ponte,umieścić
felices,Szczęśliwy
supe,wiedziałem
haberte,CZY TY
marcha,Marsz
poderes,uprawnienie
hubieras,Miałbyś
justicia,sprawiedliwość
bella,ładny
dé,z
proteger,chronić
cabello,włosy
pedido,zamówienie
oscuro,ciemny
sarah,Sarah
embarazada,w ciąży
costa,wybrzeże
dama,dama
alguno,Niektóre
orgulloso,dumny
vos,Ty
tomado,zajęty
digamos,Powiedzmy
debió,miał
gana,Wygrać
cura,gojenie : zdrowienie
lengua,język
araña,pająk
podré,Będę mógł
voluntad,siła woli
total,całkowity
dedo,palec
pago,płacić
agradezco,doceniam
partir,Zostawić
lucha,walka
leche,mleko
luke,Łukasz
diste,daliście
copa,Filiżanka
quedarte,zostawać
seguros,Ubezpieczenie
destruir,zniszczyć
bienvenidos,Witamy
llevan,Niosą
jerry,Nocnik
ponga,Umieścić
lados,boki
acceso,dostęp
parker,Parker
intentar,próba
trajo,przyniósł
desastre,katastrofa
deber,obowiązek
herida,rana
débil,słaby
naturaleza,Natura
luchar,walka
extraña,dziwny
encontraste,w przeciwieństwie do tego
vieron,Zobaczyli
llámame,Zadzwoń
imagen,obraz
pan,chleb
refieres,Masz na myśli
clientes,klienci
varios,kilka
show,Pokazywać
auxilio,pomoc
oyes,słyszysz
siguen,Oni kontynuują
sentado,posiedzenie
saliendo,wychodzić
responsable,odpowiedzialny
olvidado,zapomniany
quedó,To było
permite,To pozwala
aquella,To
puse,włożyłem
sonido,dźwięk
quiso,On chciał
escrito,pisemny
carro,samochód
preciosa,śliczny
muestra,próbka
bastardo,bękart
restaurante,restauracja
huevos,jajka
fantasma,duch
mismos,To samo
profesional,profesjonalny
amas,Kochasz
entero,cały
películas,filmy
cerrado,Zamknięte
dedos,palce
sigan,Podążać
dueño,właściciel
cuchillo,nóż
turno,zmiana
tormenta,burza
caray,Wow
abierto,otwarty
quede,pozostać
verdadera,PRAWDA
mato,Mato
doc,Doc
playa,plaża
km,km
victoria,zwycięstwo
primo,kuzyn
oíste,słyszałeś
lisa,gładki
interior,wewnątrz
hechos,fakty
piedra,kamień
jodido,pierdolony
militar,wojskowy
computadora,komputer
encantaría,Zaklęcie
siga,Podążać
silla,krzesło
movimiento,ruch
momentos,Chwile
familiar,znajomy
apartamento,apartament
disparar,strzelać
tesoro,skarb
perfecta,Doskonały
refiero,To znaczy
motivo,powód
dará,dać
nuevas,nowy
mr,Pan
querer,chcieć
matarlo,Zabij go
valiente,odważny
víctima,ofiara
tendrán,Będą mieć
estúpida,głupi
envió,wysyłka
steve,Steve
encantado,zachwycony
diario,dziennik
abran,otwarty
sentí,poczułem
autobús,autobus
traído,przyniósł
casas,domy
apúrate,Pośpiesz się
encuentras,Znalazles
descanso,odpoczynek
sheriff,Szeryf
mulder,Mulder
mueve,przenosić
inglaterra,Anglia
quieto,Nadal
carl,Carl
matarte,zabić cię
calles,ulice
tamaño,rozmiar
colegio,szkoła
usando,ma na sobie
cabo,peleryna
video,wideo
toques,Dotknięcia
pelota,piłka
yendo,pójście
directo,prosty
termine,skończyłem
vivos,żywy
sombrero,kapelusz
tomé,Brać
estudio,badanie
grave,poważny
protección,ochrona
secretos,Tajniki
perdiendo,przegrywający
pecho,klatka piersiowa
sepas,wiedzieć
enferma,chory
cuesta,koszty
negros,Czarni
estrellas,gwiazdy
lago,jezioro
clases,zajęcia
b,B
obviamente,oczywiście
inmediato,natychmiastowy
modos,Tryby
irás,pójdziesz
robo,napad
mataré,zabiję
seria,byłbym
laura,Laura
apoyo,wsparcie
cerrar,zamknąć
imagino,wyobrażam sobie
amenaza,zagrożenie
toque,dotykać
larry,Larry
saca,wyciąga
viernes,Piątek
hayan,Posiadać
roto,złamany
lucy,Lucy
piloto,pilot
marca,marka
combate,walka
hablé,Rozmawiałem
manejar,prowadzić
sección,Sekcja
profundo,głęboko
tantos,tak wiele
conocía,wiedziałem
serie,seria
ed,wyd
contrato,kontrakt
americano,amerykański
paseo,chodzić
aviones,samoloty
balas,kule
repente,Nagle
cambia,Zmiana
tropas,wojsko
llevará,nosić
uso,używać
pudiste,Mógłbyś
detener,aresztować
sabia,wiedziałem
llegué,przybyłem
negra,Czarny
decidido,zdecydowany
comienza,zaczyna się
distancia,dystans
éramos,Byliśmy
murieron,Umarli
averiguar,domyślić się
actuar,Działać
quedo,Pozostaję
pulso,puls
aguanta,trzymać
oficiales,Oficerowie
llamaba,dzwoniłem
enemigos,wrogowie
saldrá,Okaże się
preocupado,zainteresowany
elección,wybór
sobrevivir,przetrwać
bordo,tablica
sujeto,temat
pacientes,pacjenci
disculpen,Przepraszam
época,epoka
entró,wchodzę
pesar,ważyć
habló,mówić
walter,Walter
vender,sprzedać
piensan,Myślą
ex,były
gratis,bezpłatny
desapareció,On zniknął
empleo,zatrudnienie
llamé,dzwoniłem
conocen,Oni wiedzą
cerdo,świnia
puedan,Móc
comprendo,zrozumieć
tomo,wziął
termina,kończy się
aléjate,uciec
busco,szukać
contento,zadowolony
date,Data
tumba,grób
matt,Matt
huellas,Ślady
cuerpos,ciała
absoluto,absolutny
pide,pyta
kent,Kent
dura,twardy
descansar,odpoczynek
respuestas,Odpowiedzi
propiedad,nieruchomość
llamando,powołanie
dormido,we śnie
castillo,zamek
china,Chiny
datos,dane
torre,wieża
robar,ukraść
americanos,Amerykanie
malos,zły
botella,butelka
aquellos,te
últimamente,ostatnio
testigo,świadek
s,S
presento,Prezentuje
periódico,Gazeta
kate,Kate
juez,sędzia
historias,historie
gustaba,lubił
créeme,uwierz mi
necesitar,potrzebować
esquina,narożnik
millas,mil
llamadas,połączenia
fuente,fontanna
conocemos,Wiemy
techo,sufit
genio,geniusz
alerta,alarm
ideas,Pomysły
tomas,Tomas
olvidar,zapominać
menor,drobny
droga,lek
explicar,wyjaśnić
abierta,otwarty
privado,prywatny
miembros,członkowie
joey,Joey
nacional,krajowy
gustó,smak
ross,Ross
discutir,kłócić się 
evidencia,dowód
detalles,Detale
c,C
tardes,popołudnie
tomaré,wezmę
presente,obecny
scott,Scott
criminal,kryminalista
premio,nagroda
vuelvas,Wróć
siéntese,Usiądź
viniste,czy przyszedłeś
recibir,odbierać
mires,Patrzeć
teniendo,mający
huele,zapach
hables,Ty mówisz
guardias,gwardia
enamorado,zakochany
cuidar,opiekować się
pocos,kilka
perdone,Przebaczyć
natural,naturalny
caballos,konie
escucho,słucham
enfermera,pielęgniarka
ángel,anioł
sospechoso,podejrzany
local,lokalny
mentiras,kłamstwa
camisa,koszula
confía,Zaufanie
aceptar,zaakceptować
venganza,zemsta
perdimos,Przegraliśmy
cuantos,ile
parque,park
juegos,Gry
chloe,Chloe
vives,żyjesz
varias,kilka
harías,Ty byś zrobił
menudo,niewielki
déjenme,zostaw mnie
barrio,sąsiedztwo
virus,wirus
talento,talent
ministro,Minister
hiciera,zrobiony
robó,napad
conocerte,znam cię
viviendo,żyjący
responsabilidad,odpowiedzialność
respira,Oddychać
números,liczby
pertenece,To należy
desayuno,śniadanie
dave,Dave
campeón,mistrz
controlar,sprawdzać
maría,Maria
nieve,śnieg
méxico,Meksyk
howard,Howard
dias,dni
vergüenza,wstyd
doctora,lekarz
blancos,Biały
fumar,palić
llevamos,my nosimy
europa,Europa
dudo,wątpię
athena,Atena
pastel,ciasto
quedas,Ty zostań
cae,spada
vimos,widzieliśmy
recibido,otrzymane
andando,pieszy
agentes,Agenci
fueras,Ty byłeś
asustado,przestraszony
perdóname,Wybacz mi
reino,Królestwo
clave,wskazówka
papeles,dokumenty tożsamości
matando,zabicie
jake,Jake
efecto,efekt
r,R
plata,srebro
olvidé,zapominać
iban,szli
universo,wszechświat
política,polityka
almuerzo,obiad
magia,magia
lluvia,deszcz
humor,humor
autos,samochody
veía,Widziałem
tantas,wiele
respirar,oddychać
cantar,śpiewać
trabajas,pracujesz
julie,Julie
disparo,Strzelanie
conversación,rozmowa
olor,zapach
asesinos,mordercy
muchacha,dziewczyna
modelo,Model
jane,Jane
curso,kurs
canal,kanał
rock,głaz
llorar,płakać
borracho,pijany
regresen,Powrót
váyanse,Iść
sentía,poczułem
resultado,wynik
william,William
parado,zatrzymany
olvides,Zapominać
mirada,Patrzeć
inútil,bezużyteczny
california,Kalifornia
acabas,Skończysz
ciencia,nauka
perdiste,przegrałeś
sociedad,społeczeństwo
regrese,wróciłem
camioneta,awangarda
coño,Kiciuś
revista,czasopismo
pareció,wydawało się
montaña,Góra
maravillosa,wspaniały
dejarlo,zostaw to
máximo,maksymalny
echar,rzucić
corriente,aktualny
escuchando,słuchający
disculpas,Przeprosiny
cadáver,zwłoki
seguimos,Kontynuujemy
ron,Ron
espectáculo,pokazywać
frodo,Frodo
mundial,świat
francia,Francja
decirles,Powiedz im
aspecto,aspekt
presencia,obecność
famoso,słynny
corto,krótki
relájate,Zrelaksuj się
poderoso,potężny
recuerdos,wspomnienia
llego,przyjechać
carretera,droga
pasé,dzieje się
oigo,słyszę
esperamos,czekamy
escuchado,Słuchałem
cable,drut
rosa,różowy
bola,piłka
oferta,oferta
helen,Helen
intentarlo,próbować
habido,Były
continuar,Kontynuować
rachel,Rachel
ladrón,złodziej
humanidad,ludzkość
estómago,żołądek
entera,cały
contó,powiedział
poniendo,wystawienie
mercado,rynek
granja,gospodarstwo rolne
idiotas,idioci
hablemos,Porozmawiajmy
estudiante,student
siglo,wiek
roger,zrozumiałem
relaciones,relacje
ias,IAS
hablan,Oni mówią
adam,Adam
nosotras,My
miembro,członek
fortuna,fortuna
libres,bezpłatny
acciones,działania
esperas,Oczekujesz
suficientemente,wystarczająco 
llevaron,Nieśli
ocurrido,stało się
andar,chodzić
perfectamente,doskonale
pasan,przechodzić
jardín,ogród
cola,linia
resultados,wyniki
francés,Francuski
troya,Troy
tercera,trzeci
martin,Jaskółka oknówka
entrenamiento,szkolenie
doug,Doug
azúcar,cukier
metido,zaangażowany
ayudarlo,Pomóż mu
diles,Powiedz im
coger,Brać
lunes,Poniedziałek
ey,Hej
new,Nowy
intención,zamiar
volviendo,Wracając
efectivo,gotówka
chicago,Chicago
dei,Dei
salgamos,wyjdźmy
preguntaba,Zapytałam
olvida,Zapominać
helicóptero,śmigłowiec
fuertes,potężny
encantador,uroczy
original,oryginalny
cadena,łańcuch
tarea,zadanie
dispara,strzelać
corta,krótki
compañeros,Towarzysze
cirugía,chirurgia
quítate,Startować
querían,Chcieli
precioso,cenny
lord,Lord
sara,Sara
comenzó,rozpoczął się
truco,sztuczka
inspector,inspektor
enojado,zły
felicidades,Gratulacje
desaparecido,zaginiony
acto,działać
pollo,kurczak
elizabeth,Elizabeth
chocolate,czekolada
adonde,gdzie
resulta,wynik
merece,zasługuje na
gas,gaz
examen,egzamin
vean,Widzieć
tonta,głupi
importantes,ważny
apuesta,Zakład
jean,Drelich
directamente,bezpośrednio
recuperar,odzyskiwać
pongo,umieścić
llegaron,Przybyli
cobarde,tchórz
cantidad,kwota
sucio,brudny
habia,tam było
emperador,cesarz
mono,kok
encontraremos,My znajdziemy
disparen,Strzelają
gloria,chwała
contrario,przeciwnie
socorro,Pomoc
sir,Pan
escaleras,schody
seth,Seth
pasos,Kroki
nuevamente,Ponownie
derechos,prawa
obtener,uzyskać
guste,Tak jak
búsqueda,szukaj
helado,mrożony
fútbol,piłka nożna
sexual,seksualny
polvo,pył
aseguro,zapewniam
rostro,twarz
robado,skradziony
policia,Policja
empresa,firma
escuchas,Ty słuchasz
pones,Położyłeś
lárgate,Wysiadać
interés,odsetki
discúlpeme,Przepraszam
dejaron,Wyszli
tengamos,Zróbmy
firma,podpis
llevaba,miałem
llegas,przybywasz
cristo,Chrystus
tercer,trzeci
senador,senator
continúa,kontynuować
gracia,śmieszny
cien,sto
texas,Teksas
jones,Jones
des,des
tratado,traktat
razones,powody
caminando,pieszy
urgencias,Nagły wypadek
u,Lub
raymond,Raymond
esperan,czekają
muñeca,LALKA
firme,solidny
duerme,spać
ambulancia,ambulans
limpia,czysty
habéis,Ty masz
flota,flota
leyenda,legenda
encuentre,Znajdować
fué,był
arturo,Arthur
romper,przerwa
muriendo,umierający
encontrarlo,Znajdź go
rescate,ratunek
quedado,lewy
enfrente,z przodu
comienzo,początek
árboles,drzewa
x,X
queso,ser
favorito,ulubiony
haberme,Posiadać
frontera,granica
creemos,Wierzymy
colega,kolega z pracy
jueves,Czwartek
alemanes,Niemcy
shrek,Shrek
sábado,Sobota
limpiar,czysty
puto,pierdolony
poquito,trochę
cientos,setki
muero,umieram
irak,Irak
inteligencia,inteligencja
funcionar,funkcjonować
felicitaciones,Gratulacje
escapó,uciekł
criatura,kreatura
milagro,cud
deprisa,szybko
especiales,specjalny
campamento,obóz
responde,odpowiedź
escuchaste,słuchałeś
debiste,Jesteś winien
adios,do widzenia
viven,oni żyją
recoger,zbierać
preguntarte,zapytać ciebie
compras,zakupy
cansada,Zmęczony
will,Będzie
elegir,wybierać
cáncer,rak
servir,podawać
pata,łapa
huir,uciec
útil,użyteczne
grados,stopni
atacar,atak
sonny,Synek
recién,nowo
querría,Chciałbym
guapo,przystojny
alcance,zakres
smith,Kowal
dejame,pozwól mi
quedamos,zostajemy
llegará,zasięg
seremos,Będziemy
desierto,pustynia
t,T
licencia,licencja
fiona,Fiona
trató,umowa
proceso,proces
llevado,realizowane
durmiendo,spanie
tensión,napięcie
martes,Wtorek
kilómetros,kilometry
cartera,aktówka
tráfico,ruch drogowy
guarda,strażnik
impresionante,Wspaniały
víctimas,ofiary
ricos,bogaty
primeros,Pierwszy
dejamos,Opuszczamy
tomen,Brać
iguales,równy
domingo,Niedziela
crear,tworzyć
quedará,pozostanie
pérdida,strata
extra,dodatkowy
fuese,To było
confío,ja ufam
sabido,znany
análisis,analiza
llegaste,przybyłeś
fría,zimno
violencia,przemoc
mate,kumpel
lobo,Wilk
discurso,przemówienie
actor,aktor
sexy,seksowny
orgullo,duma
odia,nienawidzi
libras,funty
alli,tam
agencia,agencja
vuelvan,Powrót
rose,Róża
necesidad,potrzebować
naves,statki
descubrir,odkryć
tira,rozebrać się
resolver,rozwiązywać
pondré,położę
volando,latający
pensamos,Myślimy
míos,kopalnia
errores,błędy
celular,komórka
vincent,Vincent
cuantas,ile
claire,Claire
verlos,Zobacz ich
ayudarle,Pomóż mu
meter,położyć
hablaré,będę mówił
ésto,Ten
daniel,Daniel
buscas,Szukasz
equivocada,zło
dejan,Zostawić
vacío,pusty
trabajaba,pracowałem
salón,salonik
motor,silnik
conducir,prowadzić
compré,kupiłem
quizas,Może
den,Legowisko
cerrada,Zamknięte
cortar,cięcie
ted,Przetrząsać
crea,tworzy
sera,Być
mueva,przenosić
hazme,Zmuś mnie
bravo,Brawo
alan,Alan
pregunté,pytałem o
promesa,obietnica
espejo,lustro
dígale,Powiedz mu
sienta,Czuć
médicos,Lekarze
cero,zero
escribió,napisał
volveremos,wrócimy
unidades,jednostki
cheque,sprawdzać
consigue,Dostawać
antiguo,starożytny
regla,linijka
pesadilla,koszmar
enviar,wysłać
podías,Mógłbyś
llevarte,Zabierz cię
entrenador,trener
cuida,opiekować się
paciencia,cierpliwość
dilo,Powiedz to
levanta,Wznosić
complicado,skomplikowane
superior,znakomity
sugiero,sugeruję
familias,rodziny
dirá,Powie
pienses,myśleć
temporada,pora roku
suelta,luźny
jackie,Jackie
corran,Biegną
propios,własny
feo,brzydki
dispuesto,chętny
ayúdenme,Pomóż mi
teoría,teoria
salvaje,dziki
negativo,negatywny
íbamos,Chodziliśmy
hubieran,byłoby
tripulación,załoga
taza,filiżanka
perdida,strata
vinieron,Oni przyszli
ponen,Włożyli
pasamos,"zdaliśmy, minęliśmy"
parecido,podobny
brian,Brian
acepto,zgadzam się
gay,Gay
cooper,Bednarz
señoras,damski
quedaré,zostanę
parada,zatrzymywać się
niñas,Dziewczyny
conseguí,mam
acabamos,skończyliśmy
normalmente,zazwyczaj
muchísimo,bardzo
bruja,czarownica
vegas,Vegas
tuvieron,Oni mieli
traigo,przynoszę
matará,zabije
kevin,Kevin
funeral,pogrzeb
conseguiste,Masz
teatro,teatr
paris,Paryż
medianoche,północ
biblioteca,biblioteka
estemos,Let
túnel,tunel
encargo,opłata
aparece,pojawia się
testigos,Świadkowie
pensó,myśl
fueran,Byli
fantasmas,Duchy
correo,Poczta
vuestro,twój
piscina,basen
paquete,pakiet
copia,Kopiuj
alice,Alice
suicidio,samobójstwo
molly,Pedał
crédito,kredyt
consigo,z nim
carol,kolęda
vuestra,twój
rara,dziwny
legal,prawny
hablaremos,będziemy rozmawiać
cambió,zmiana
solas,sam
salimos,Wyszliśmy
ganador,zwycięzca
estudiantes,studenci
despierto,obudzony
pare,zatrzymywać się
invitado,gość
guía,przewodnik
oso,niedźwiedź
leí,Czytać
explosión,pękać
dejarme,Zostaw mnie
chino,chiński
stan,Stan
lois,Lois
sorprende,niespodzianka
sistemas,systemy
nación,naród
entienden,oni rozumieją
arena,piasek
mentiroso,kłamca
hablaba,ona mówiła
veas,idź do s
pura,Czysty
asesinado,zamordowany
mintiendo,kłamliwy
casos,sprawy
vehículo,pojazd
rata,szczur
importancia,znaczenie
distinto,odrębny
pintura,farba
intenté,próbowałem
conciencia,świadomość
miras,wyglądasz
máquinas,Maszyny
traeré,Przyniosę
revisar,recenzja
veinte,20
seres,Istoty
hablarle,Porozmawiaj z nim
disco,dysk
viktor,Viktor
transporte,transport
mina,kopalnia
labios,usta
señoría,panowanie
llamamos,Nazywamy
doce,dwanaście
cuídate,Dbaj o siebie
pasillo,nawa
tele,telewizja
podria,mógł
completa,kompletny
rápida,szybko
precisamente,dokładnie
llamaste,zwany
cumplir,osiągnąć
servicios,usługi
señales,sygnały
acaban,oni skończyli
am,JESTEM
suéltame,Puścić
hablarte,Rozmawiać z tobą
traté,próbowałem
pescado,ryba
huesos,kości
daría,dałby
compra,Kupuje
trajiste,Przyniosłeś
templo,świątynia
placa,płyta
posibilidades,szanse
ira,zamierzać
vengas,Przyjeżdżacie
siguiendo,Następny
podrán,będzie w stanie
llamarme,Zadzwoń
cierta,PRAWDA
permitir,umożliwić
condiciones,warunki
atrapar,złapać
temperatura,temperatura
explicación,wyjaśnienie
enviado,wysłano
contado,Gotówka
asistente,asystent
imperio,imperium
pidiendo,pytając
notas,klas
curioso,ciekawski
operaciones,Operacje
mantén,Trzymać
tierras,grunt
creas,Wierzysz
pez,ryba
morirá,umrze
visión,wizja
montañas,góry
jeff,Jeff
d,D
comido,Zjedzony
construir,zbudować
comunidad,wspólnota
verán,Zobaczysz
pierde,Misses
piense,Myśleć
felicidad,szczęście
ee,Ee
diversión,zabawa
salvó,z wyjątkiem
thomas,Tomasz
quita,usunąć
museo,muzeum
disparó,Strzelanie
desearía,chciałbym
misterio,tajemnica
buscamos,Szukamy
aviso,ostrzeżenie
almirante,admirał
solución,rozwiązanie
pequeñas,mały
faltan,zaginiony
existen,istnieć
combustible,paliwo
leído,Czytać
tirar,rzucić
responder,odpowiedź
esfuerzo,wysiłek
vuelves,Wracasz
uu,Uu
pájaro,ptak
hermanas,siostry
guerrero,wojownik
esposas,żony
coma,jeść
abra,otwarty
traes,Przynosisz
sientas,Czujesz
rocky,Skalisty
olvide,zapominać
joseph,Joseph
bolsillo,kieszeń
heridas,rany
saco,płaszcz
gasolina,benzyna
conexión,Połączenie
correcta,prawidłowy
pedazos,sztuki
líneas,linie
estarías,Byłbyś
convierte,nawrócone
ayudará,pomóc
rumbo,kurs
rompió,złamał
muera,umierać
mia,kopalnia
material,materiał
diamantes,Diamenty
rápidamente,szybko
mírate,Spójrz na siebie
fecha,data
escritorio,biurko
digan,mowić
registro,nagrywać
maten,Zabić
incendio,ogień
deme,daj mi
sois,jesteś
pensamientos,myśli
dímelo,Powiedz mi
comiendo,jedzenie
aparte,oprócz
asesinatos,Morderstwa
roy,Roy
lección,lekcja
algun,Niektóre
abrigo,płaszcz
tratamiento,leczenie
julio,Lipiec
pene,penis
conejo,Królik
suceder,zdarzyć
ruta,trasa
ciego,ślepy
asqueroso,obrzydliwe
súper,Super
prisionero,więzień
odie,nienawidzić
ocupada,zajęty
llevarlo,nieś to
jenny,Przędzarka
empezamos,Zaczynamy
emily,Emilia
ethan,Ethan
estuvimos,Byliśmy
decírselo,Powiedz mu
oscar,Oscar
honesto,uczciwy
entrevista,wywiad
antigua,starożytny
amante,kochanek
humo,palić
gustas,Tak jak
condado,hrabstwo
conseguido,osiągnięte
viajar,podróż
sombra,cień
sabrá,będzie wiedział
refiere,odnosi się
lío,bałagan
estáis,Jesteś
entrega,dostawa
drácula,Dracula
compartir,udział
angeles,Anioły
volvamos,wracajmy
sonrisa,uśmiech
sencillo,prosty
atrapado,złapany
aburrido,znudzony
pocas,kilka
pensaste,Myśl
dragón,smok
anne,Anne
volví,wróciłem
planta,zakład
clima,klimat
adoro,lubię
suave,delikatny
ruso,Rosyjski
rodillas,kolana
marina,Morski
bolso,torba
betty,Betty
alarma,alarm
vivía,ona żyła
quédese,Zostawać
recompensa,nagroda
juega,grać
hollywood,Hollywood
cigarrillo,papieros
autoridad,autorytet
amigas,przyjaciele
agujero,otwór
acabe,Skończyć
sacaste,Wyjąłeś
orgullosa,dumny
jackson,Jackson
entendí,zrozumiany
dijera,powiedział
sótano,piwnica
paredes,ściany
guapa,ładny
iría,poszedł
imaginar,wyobrażać sobie
fiebre,gorączka
déjala,zostaw ją
botón,przycisk
preguntarle,Zapytaj go
leyendo,czytanie
darles,daj im
uniforme,mundur
dulces,słodycze
vaso,szkło
documentos,Dokumenty
ruego,błagam
maneras,sposoby
king,Król
invitados,goście
cómodo,wygodny
ayudarnos,Pomóż nam
visitar,odwiedzać
vigilancia,nadzór
nadar,pływać
altura,wysokość
todavia,Nadal
preparados,przygotowany
gary,Gary
cuáles,Który
mover,przenosić
jugador,gracz
izquierdo,lewy
alejandro,Aleksander
tecnología,technologia
raza,wyścig
conocerlo,znać go
conde,liczyć
social,społeczny
gobernador,gubernator
coge,Brać
pedro,Pedro
cubierta,pokład
chiste,żart
celda,komórka
agarra,chwyta
secreta,Sekret
personalmente,osobiście
miller,Młynarz
amistad,przyjaźń
amaba,kochałem
nació,urodzić się
interesado,zainteresowany
intentado,wypróbowany
educación,Edukacja
curiosidad,ciekawość
buscan,szukam
repito,Powtarzam
pecado,grzech
mortal,śmiertelny
manda,Wysłać
claramente,Wyraźnie
vía,przez
juntas,razem
identificación,ID
dirige,reżyseruje
declaración,oświadczenie
alemán,Niemiecki
tontos,Głupcy
mantiene,utrzymuje
bestia,bestia
veneno,zatruć
vecinos,sąsiedzi
supiera,wiedziałem
quieran,chcieć
salgo,Jestem w drodze
propias,własny
privada,prywatny
jurado,jury
golpes,hity
usan,Oni używają
metas,cele
lenny,Lenny
garganta,gardło
invierno,zima
fila,wiersz
ricky,Ricky
miel,Miód
traigan,Przynieść
sucedido,stało się
tranquilos,cichy
madera,drewno
burro,osioł
artista,artysta
sophie,Zofia
pobres,słaby
louis,Louis
impresión,wrażenie
ganó,wygrał
cruzar,przechodzić
cigarrillos,papierosy
scully,Scully
ó,albo
llevarme,Weź mnie
grial,Graal
chaqueta,kurtka
alcalde,burmistrz
vueltas,rundy
usado,używany
reputación,reputacja
pongas,Umieścić
oxígeno,tlen
cajas,pudła
preocupada,zmartwiony
matan,Oni zabijają
liz,Liz
empezando,startowy
cabezas,Głowy
ponerme,Postaw siebie
experto,ekspert
océano,ocean
maestra,nauczyciel
cia,Inc
pieza,część
cargos,opłaty
bombas,Lakierki
alcohol,alkohol
trataba,To było
salen,Odeszli
pizza,Pizza
patrick,Patrick
recibí,otrzymałem
junta,tablica
criaturas,stworzenia
apareció,pojawił się
actitud,postawa
gira,wycieczka
cristal,szkło
bourne,Cel
amy,Amy
encuentran,znajdować
dejarte,Zostaw cię
caído,upadły
ultima,Ostatni
j,J
sensación,uczucie
seguido,Następny
puro,czysty
whisky,whisky
vernos,Zobacz nas
pantalla,ekran
bebida,drink
estudiar,badanie
ducha,prysznic
despedido,zwolniony
consiguió,dostał
venía,wszedł
pagan,płacić
discúlpame,Przepraszam
artículo,artykuł
aparentemente,najwyraźniej
ambas,Zarówno
trauma,uraz
pusieron,Włożyli
fiestas,imprezy
contesta,odpowiedź
contenta,szczęśliwy
ambiente,atmosfera
prometí,Obiecałam
llegando,przyjazd
mostraré,Pokażę
deba,Defa
berlín,Berlin
nerviosa,nerwowy
hallar,znajdować
dudas,wątpienie
llegan,Przybyli
instrucciones,instrukcje
baje,Niżej
vinimos,Przyszliśmy
ritmo,rytm
quédense,zostawać
suponía,przypuszczalny
marcus,Marcus
pistas,utwory
palacio,pałac
gordon,Gordon
encontraré,znajdę
venta,sprzedaż
urgente,pilny
tomamos,bierzemy
salí,wyszedłem
cuerda,lina
vendría,To by przyszło
pasaba,przeszedł
instante,natychmiastowy
almas,dusze
suficientes,wystarczająco 
secundaria,wtórny
saltar,chmiel
queria,chciał
quedarnos,zostawać
molesto,irytujący
colina,wzgórze
porquería,brud
dean,dziekan
sienten,Oni czują
pondrá,położy
terroristas,Terroryści
empecé,ja zacząłem
pongan,Umieścić
phoebe,Phoebe
moto,motocykl
opinas,Myślisz
habilidad,umiejętność
entren,Wchodzić
descubierto,odkryty
convertido,Przekształcony
asegúrate,Upewnić się
summer,Lato
quedé,zostałem
kilos,Kilos
florida,Floryda
tomará,to zajmie
sufrir,cierpieć
mental,psychiczny
lograr,osiągnąć
instituto,Instytut
um,um
serlo,Być
rapido,szybko
plato,danie
llorando,płacz
vd,Ty
váyase,Idź stąd
sucediendo,wydarzenie
robaron,Ukradli
alemania,Niemcy
bolas,kulki
luthor,Luthor
pasaría,To by się stało
ocurra,zdarzać się
ilegal,nielegalny
fresco,Fajny
falso,podróbka
abogados,Prawnicy
tómalo,Weź to
mandó,Komenda
cuán,Jak
cuales,Który
botas,buty
tiburones,Rekiny
marissa,Marissa
grado,stopień
deseas,chcesz
archivos,akta
adivina,zgadywać
cruz,przechodzić
campaña,Kampania
asustada,przestraszony
centavos,centy
vivimos,Żyjemy
galletas,ciasteczka
frecuencia,częstotliwość
daños,szkoda
minas,Kopalnie
emociones,emocje
dejará,zostawi
regresó,powrót
ratas,Szczury
pasión,pasja
julia,Julia
joel,Joel
hacerse,być zrobionym
comportamiento,zachowanie
pense,myślałem
conocimiento,wiedza
bin,kosz
sales,ty wyjdź
fiscal,fiskalny
decisiones,decyzje
criminales,przestępcy
cámaras,kamery
amanecer,wschód słońca
convirtió,Przekształcony
aldea,wieś
abandonar,opuścić
obvio,oczywiste
habíamos,Mieliśmy
apesta,śmierdzi
abandonado,opuszczony
volverás,wrócisz
preocuparse,martwić się
kim,Kim
favorita,Ulubiony
lanzamiento,początek
difíciles,trudny
vivido,żywy
roca,głaz
peces,ryba
maravilla,Wspaniały
espacial,przestrzeń
conductor,kierowca
camarada,towarzysz
trabajado,Wprowadzony
caramba,Caramba
sopa,zupa
numero,numer
gritar,krzyczeć
envía,Wysłać
casino,kasyno
alteza,wysoki król
karen,Karen
identidad,tożsamość
cambios,zmiany
guardar,trzymać
gatos,Koty
gané,wygrałem
arresto,aresztować
éstas,Czy
preguntó,spytał
éstos,te
probable,prawdopodobnie
seamos,Bądźmy
importaría,umysł
firmar,podpisać
federal,federalny
caras,twarze
trabajos,Oferty pracy
houston,Houston
hagámoslo,Zróbmy to
expediente,obrady
tigre,Tygrys
intentó,wypróbowany
harto,rozdrażniony
decidir,decydować
periódicos,Gazety
casarse,ożenić się
lento,powolny
hecha,zrobiony
daba,dał
simon,Szymon
ponerte,włączać
pelotas,kulki
monstruos,Potwory
ie,tj
cruel,okrutny
city,Miasto
señoritas,Damski
gigante,ogromny
dick,Kutas
siglos,wieki
escalera,drabina
incidente,incydent
escenario,sceneria
dirás,Powiesz
ciertas,PRAWDA
